"COUNTRY_NAME","AVG(F.GNI)","RANK"
"Liechtenstein",111709.9,1
"UnitedArabEmirates",82143.252,2
"Qatar",81961.771,3
"Luxembourg",76477.218,4
"Brunei",68677.561,5
"Singapore",66088.273,6
"SanMarino",65830.713,7
"Kuwait",65451.071,8
"Switzerland",64365.01,9
"Norway",56914.8,10
"UnitedStates",52181.987,11
"Austria",48681.771,12
"Denmark",48680.148,13
"Andorra",48641.8,14
"Netherlands",48436.56,15
"Belgium",46048.824,16
"HongKong",45854.564,17
"Germany",45783.574,18
"SaudiArabia",45195.07,19
"Sweden",44702.13,20
"Bahrain",44273.503,21
"Ireland",43564.071,22
"Finland",42428.988,23
"Iceland",41447.451,24
"Italy",41181.984,25
"Canada",41116.332,26
"France",40850.126,27
"Australia",40110.732,28
"UnitedKingdom",39520.58,29
"Japan",39332.686,30
"Bahamas",36304.552,31
"Spain",34641.574,32
"Oman",33984.344,33
"Cyprus",33063.797,34
"NewZealand",32112.107,35
"Slovenia",31164.189,36
"Israel",30503.237,37
"Malta",29465.273,38
"SouthKorea",28906.804,39
"Greece",28839.93,40
"Portugal",28706.526,41
"Czechia",28606.406,42
"Croatia",22828.72,43
"Hungary",22360.024,44
"SaintKittsandNevis",22262.907,45
"Slovakia",22023.564,46
"Estonia",21927.668,47
"Lithuania",20978.617,48
"TrinidadandTobago",20381.1,49
"RussianFederation",20162.318,50
"Poland",20098.708,51
"Seychelles",19683.15,52
"Argentina",19554.177,53
"Turkey",19502.1,54
"Latvia",19327.527,55
"Panama",18350.171,56
"Malaysia",18334.048,57
"Romania",18081.354,58
"Chile",17769.237,59
"Mexico",17160.636,60
"AntiguaandBarbuda",17020.33,61
"Uruguay",16401.79,62
"Venezuela",15961.426,63
"Palau",15890.95,64
"Montenegro",15860.877,65
"Kazakhstan",15843.14,66
"Bulgaria",15609.405,67
"Mauritius",15351.462,68
"Libya",14764.528,69
"Lebanon",14650.353,70
"CostaRica",14632.096,71
"EquatorialGuinea",14607.841,72
"Gabon",14496.538,73
"Barbados",14124.41,74
"Suriname",13856.87,75
"Maldives",13323.65,76
"Serbia",12908.999,77
"Belarus",12679.077,78
"Brazil",12639.458,79
"SaintLucia",12465.287,80
"NorthMacedonia",12362.281,81
"Thailand",12256.028,82
"SouthAfrica",12068.793,83
"Botswana",12014.976,84
"Iran",11628.654,85
"Grenada",11479.14,86
"Ukraine",11017.846,87
"Nauru",10983.275,88
"DominicanRepublic",10924.63,89
"Colombia",10786.387,90
"Dominica",10386.683,91
"BosniaandHerzegovina",10363.323,92
"Fiji",10212.753,93
"Turkmenistan",10002.911,94
"Algeria",9720.1147,95
"SaintVincentandtheGrenadines",9717.2422,96
"Jordan",9580.279,97
"Ecuador",9451.2229,98
"Paraguay",9328.983,99
"Jamaica",9132.8586,100
"Moldova",9049.115,101
"Azerbaijan",8802.7557,102
"Egypt",8743.681,103
"Tunisia",8661.1928,104
"Georgia",8524.9361,105
"Albania",8496.8443,106
"Peru",8261.8759,107
"Namibia",8033.2058,108
"SriLanka",7891.1571,109
"Armenia",7865.8203,110
"Guyana",7787.7336,111
"Iraq",7563.4666,112
"Indonesia",7374.2369,113
"China",7287.0806,114
"Guatemala",6915.93,115
"ElSalvador",6850.6135,116
"Mongolia",6798.8802,117
"Eswatini",6636.3737,118
"Belize",6249.2931,119
"Philippines",6150.855,120
"Bhutan",6117.7001,121
"Bolivia",6091.7486,122
"Cuba",5983.1874,123
"SyrianArabRepublic",5953.285,124
"Tonga",5692.2865,125
"Samoa",5499.3819,126
"Palestine Stateof",5499.2409,127
"Morocco",5430.7808,128
"Angola",5261.6737,129
"Timor-Leste",5228.6208,130
"CaboVerde",4936.1085,131
"Mauritania",4661.4732,132
"Tuvalu",4432.6857,133
"Uzbekistan",4417.4331,134
"Honduras",4386.8865,135
"MarshallIslands",4371.648,136
