"COUNTRY_NAME","AVG(F.HDI)","RANK"
"Norway",0.918812,1
"Liechtenstein",0.91395454,1
"Switzerland",0.911187,1
"Australia",0.9094062,1
"Germany",0.904687,1
"Netherlands",0.9035312,1
"UnitedStates",0.9,1
"Canada",0.9017,1
"Denmark",0.9012187,1
"Sweden",0.8996562,1
"NewZealand",0.89612,1
"Belgium",0.8950312,1
"Finland",0.8948437,1
"Iceland",0.89337,1
"Japan",0.8895312,1
"Austria",0.883187,1
"UnitedKingdom",0.8818437,1
"HongKong",0.880062,1
"Luxembourg",0.87762,1
"Slovenia",0.86748148,1
"Israel",0.8653437,1
"Ireland",0.86437,1
"Singapore",0.8600937,1
"France",0.860062,1
"SanMarino",0.85,1
"Italy",0.8546562,1
"Andorra",0.851,1
"SouthKorea",0.851062,1
"Spain",0.8445937,1
"Greece",0.836437,1
"Czechia",0.8345937,1
"Cyprus",0.826812,1
"Malta",0.82512,1
"UnitedArabEmirates",0.8210937,1
"Estonia",0.8198437,1
"Qatar",0.816187,1
"Brunei",0.8157187,1
"Poland",0.811937,1
"Bahrain",0.80937,1
"Bahamas",0.80807407,1
"Montenegro",0.80642105,1
"Portugal",0.8062187,1
"Croatia",0.80492592,1
"Lithuania",0.8025312,1
"Argentina",0.8006562,1
"Hungary",0.795812,1
"Slovakia",0.7932,1
"AntiguaandBarbuda",0.79253333,1
"Latvia",0.79,2
"Kuwait",0.790687,2
"Chile",0.7901562,2
"Oman",0.78354545,2
"SaudiArabia",0.7824687,2
"Grenada",0.7784,2
"Seychelles",0.77386363,2
"RussianFederation",0.7716562,2
"Barbados",0.768562,2
"Uruguay",0.768,2
"Palau",0.76845454,2
"SaintKittsandNevis",0.76717647,2
"Belarus",0.76422222,2
"Georgia",0.76222727,2
"Romania",0.758812,2
"Bulgaria",0.7561562,2
"TrinidadandTobago",0.7502187,2
"Lebanon",0.74870588,2
"Serbia",0.74855555,2
"Panama",0.748187,2
"CostaRica",0.7448437,2
"Ukraine",0.740437,2
"Malaysia",0.7392187,2
"Kazakhstan",0.735437,2
"SaintVincentandtheGrenadines",0.73504545,2
"Cuba",0.7312812,2
"BosniaandHerzegovina",0.72977272,2
"Mexico",0.726437,2
"Suriname",0.72505555,2
"Mauritius",0.723187,2
"Turkmenistan",0.71911764,2
"NorthMacedonia",0.71896296,2
"Turkey",0.7174062,2
"Albania",0.7167,2
"Venezuela",0.71537,2
"Iran",0.714312,2
"SaintLucia",0.7139687,2
"SriLanka",0.7135937,2
"Ecuador",0.7130312,2
"Libya",0.710812,2
"Dominica",0.70663636,2
"Armenia",0.704437,2
"Tonga",0.702,2
"Thailand",0.7007812,2
"Peru",0.7007187,2
"Brazil",0.6993437,2
"Samoa",0.69922222,2
"Fiji",0.6989062,2
"Colombia",0.6976562,3
"Palestine Stateof",0.69527777,3
"Jordan",0.6943437,3
"Moldova",0.694312,3
"Azerbaijan",0.68988888,3
"Jamaica",0.689437,3
"Tunisia",0.680062,3
"Algeria",0.6799687,3
"DominicanRepublic",0.6787187,3
"Maldives",0.67718518,3
"Uzbekistan",0.67345454,3
"Paraguay",0.6699687,3
"SouthAfrica",0.6685937,3
"Belize",0.665812,3
"Gabon",0.6582812,3
"Philippines",0.6574687,3
"Egypt",0.65562,3
"Mongolia",0.654437,3
"Kyrgyzstan",0.6490312,3
"Bolivia",0.643562,3
"China",0.6384062,3
"CaboVerde",0.63718181,3
"MarshallIslands",0.63,3
"Botswana",0.6342187,3
"Indonesia",0.63137,3
"Bhutan",0.63066666,3
"ElSalvador",0.62887,3
"Guyana",0.6196562,3
"VietNam",0.6194062,3
"Micronesia",0.61518181,3
"Tajikistan",0.611562,3
"Iraq",0.6107812,3
"Tuvalu",0.6,3
"SyrianArabRepublic",0.599812,3
"Kiribati",0.59940909,3
"Vanuatu",0.59470588,3
"Timor-Leste",0.5925,3
"Nicaragua",0.5882,3
"Namibia",0.5859687,3
"EquatorialGuinea",0.57622727,3
"Honduras",0.5749062,3
"Guatemala",0.5744687,3
"Morocco",0.56887,3
"Ghana",0.5443437,3
"India",0.5412,3
"SaoTomeandPrincipe",0.54012,3
"SolomonIslands",0.5357391,3
"Congo",0.534562,3
"Bangladesh",0.5229687,4
"Eswatini",0.5200937,4
"Kenya",0.5197187,4
"Comoros",0.51872727,4
"Lao",0.5155312,4
"Zimbabwe",0.5085937,4
"Nepal",0.5072,4
"Angola",0.50352173,4
"Nigeria",0.49994736,4
"Cameroon",0.4942812,4
"Cambodia",0.4915312,4
"Mauritania",0.4895937,4
"Haiti",0.486937,4
"Madagascar",0.4837391,4
"Zambia",0.4835937,4
"Pakistan",0.477812,4
"PapuaNewGuinea",0.475937,4
"Lesotho",0.475812,4
"IvoryCoast",0.474187,4
"Eritrea",0.47,4
"Myanmar",0.4677,4
"Togo",0.4667187,4
"Yemen",0.4593437,4
"Liberia",0.45734782,4
"Benin",0.456437,4
"Guinea-Bissau",0.45623529,4
"Tanzania",0.450437,4
"Sudan",0.4444687,4
"Uganda",0.441187,4
"Rwanda",0.43851851,4
"Senegal",0.4362187,4
"Djibouti",0.43,4
"Gambia",0.4307187,4
"Malawi",0.418,4
"TheDemocraticRepublicoftheCongo",0.4135312,4
"Ethiopia",0.40777272,4
"SouthSudan",0.40408333,4
"Afghanistan",0.3949062,4
"SierraLeone",0.3839687,4
"Guinea",0.3797187,4
"BurkinaFaso",0.37291304,4
"Chad",0.35804545,4
"CentralAfricanRepublic",0.3547187,4
"Burundi",0.3546562,4
"Mali",0.353812,4
"Mozambique",0.3522812,4
"Niger",0.3067812,4
