COUNTRY_NAME,YEAR,SUM(F.CO2)
,,"674459,24"
,2000,"20877,3115"
,1990,"20852,8893"
,1991,"20445,4275"
,1992,"20774,7069"
,1993,"21017,1013"
,1994,"20846,6229"
,1995,"20470,4279"
,1996,"20744,4272"
,1997,"20947,1486"
,1998,"20623,2756"
,1999,"20281,0511"
,2001,"21149,6037"
,2002,"21218,0234"
,2003,"21874,3783"
,2004,"22081,217"
,2005,"22056,5175"
,2006,"22331,2971"
,2007,"22491,0523"
,2008,"22363,4919"
,2009,"21349,2716"
,2010,"21753,3376"
,2011,"21592,1974"
,2012,"21789,0422"
,2013,"21292,2108"
,2014,"21036,1276"
,2015,"20749,8075"
,2016,"20536,5907"
,2017,"20753,6915"
,2018,"20736,5139"
,2019,"20871,745"
,2020,"19276,367"
,2021,"19276,367"
Lao,,"718,074585"
Lao,2000,"4,32962038"
Lao,1990,"2,89095242"
Lao,1991,"2,99197394"
Lao,1992,"3,16098012"
Lao,1993,"3,15546682"
Lao,1994,"3,2142606"
Lao,1995,"3,32232672"
Lao,1996,"3,63495278"
Lao,1997,"3,76567402"
Lao,1998,"3,82569535"
Lao,1999,"3,87752023"
Lao,2001,"4,71474506"
Lao,2002,"5,09338195"
Lao,2003,"5,25477708"
Lao,2004,"5,4360419"
Lao,2005,"5,57889562"
Lao,2006,"7,21427748"
Lao,2007,"7,40958542"
Lao,2008,"8,45946991"
Lao,2009,"10,4120874"
Lao,2010,"11,5388216"
Lao,2011,"11,9860728"
Lao,2012,"12,6544527"
Lao,2013,"15,6343139"
Lao,2014,"16,0838441"
Lao,2015,"32,8693383"
Lao,2016,"51,9054621"
Lao,2017,"64,4137704"
Lao,2018,"66,3563741"
Lao,2019,"113,587546"
Lao,2020,"111,650952"
Lao,2021,"111,650952"
Chad,,"50,5686723"
Chad,2000,"1,39970371"
Chad,1990,"1,51886254"
Chad,1991,"1,4996202"
Chad,1992,"1,53550212"
Chad,1993,"1,47365554"
Chad,1994,"1,43942246"
Chad,1995,"1,44257215"
Chad,1996,"1,44318247"
Chad,1997,"1,44147266"
Chad,1998,"1,42596802"
Chad,1999,"1,41946097"
Chad,2001,"1,38824719"
Chad,2002,"1,35523718"
Chad,2003,"1,9043226"
Chad,2004,"1,84278062"
Chad,2005,"1,82028206"
Chad,2006,"1,81637705"
Chad,2007,"1,8939725"
Chad,2008,"1,9893222"
Chad,2009,"1,95495785"
Chad,2010,"2,00120213"
Chad,2011,"2,1712824"
Chad,2012,"1,15284852"
Chad,2013,"1,19142845"
Chad,2014,"1,7386325"
Chad,2015,"1,18496702"
Chad,2016,"1,66942505"
Chad,2017,"1,65559092"
Chad,2018,"1,61930734"
Chad,2019,"1,51312394"
Chad,2020,"1,33297097"
Chad,2021,"1,33297097"
Cuba,,"1751,45868"
Cuba,2000,"55,5984264"
Cuba,1990,"67,1475392"
Cuba,1991,"61,0935714"
Cuba,1992,"46,0335865"
Cuba,1993,"44,0943282"
Cuba,1994,"47,3476034"
Cuba,1995,"50,3333685"
Cuba,1996,"51,1908768"
Cuba,1997,"54,1793012"
Cuba,1998,"52,8193014"
Cuba,1999,"52,9750006"
Cuba,2001,"54,2050739"
Cuba,2002,"54,6951329"
Cuba,2003,"55,4470258"
Cuba,2004,"53,803481"
Cuba,2005,"52,0895199"
Cuba,2006,"52,6257836"
Cuba,2007,"51,707483"
Cuba,2008,"60,0339006"
Cuba,2009,"60,7044504"
Cuba,2010,"73,1166474"
Cuba,2011,"62,8608242"
Cuba,2012,"63,409559"
Cuba,2013,"59,6111418"
Cuba,2014,"58,2478811"
Cuba,2015,"62,1172277"
Cuba,2016,"59,6608906"
Cuba,2017,"53,3529278"
Cuba,2018,"47,856552"
Cuba,2019,"47,6987348"
Cuba,2020,"42,7007678"
Cuba,2021,"42,7007678"
Fiji,,"947,555673"
Fiji,2000,"24,6561924"
Fiji,1990,"26,5083664"
Fiji,1991,"21,6162882"
Fiji,1992,"23,891391"
Fiji,1993,"23,6235153"
Fiji,1994,"23,1329569"
Fiji,1995,"23,3684496"
Fiji,1996,"24,9192617"
Fiji,1997,"23,6994914"
Fiji,1998,"22,8441168"
Fiji,1999,"23,0620003"
Fiji,2001,"30,840188"
Fiji,2002,"25,8982873"
Fiji,2003,"30,4971596"
Fiji,2004,"39,3485438"
Fiji,2005,"31,6152307"
Fiji,2006,"34,8663438"
Fiji,2007,"32,731317"
Fiji,2008,"24,955587"
Fiji,2009,"21,8861179"
Fiji,2010,"33,5429126"
Fiji,2011,"29,6911572"
Fiji,2012,"28,9142253"
Fiji,2013,"30,4655225"
Fiji,2014,"34,4632657"
Fiji,2015,"35,7612646"
Fiji,2016,"34,6547853"
Fiji,2017,"37,2502875"
Fiji,2018,"36,716496"
Fiji,2019,"37,5255772"
Fiji,2020,"37,3046868"
Fiji,2021,"37,3046868"
Iran,,"5022,38445"
Iran,2000,"135,006564"
Iran,1990,"89,3912891"
Iran,1991,"94,0421714"
Iran,1992,"92,6574229"
Iran,1993,"94,6786542"
Iran,1994,"104,499472"
Iran,1995,"106,082119"
Iran,1996,"105,473345"
Iran,1997,"101,512055"
Iran,1998,"114,61425"
Iran,1999,"140,554165"
Iran,2001,"142,578664"
Iran,2002,"141,82989"
Iran,2003,"145,735793"
Iran,2004,"153,829171"
Iran,2005,"159,455438"
Iran,2006,"171,317552"
Iran,2007,"172,475974"
Iran,2008,"177,91668"
Iran,2009,"183,978438"
Iran,2010,"185,38586"
Iran,2011,"185,651225"
Iran,2012,"191,497783"
Iran,2013,"191,483584"
Iran,2014,"198,851834"
Iran,2015,"192,210512"
Iran,2016,"192,256273"
Iran,2017,"211,89195"
Iran,2018,"207,478467"
Iran,2019,"212,277772"
Iran,2020,"212,885041"
Iran,2021,"212,885041"
Iraq,,"3038,20695"
Iraq,2000,"73,2488892"
Iraq,1990,"67,5905828"
Iraq,1991,"60,6194743"
Iraq,1992,"76,8008493"
Iraq,1993,"79,93186"
Iraq,1994,"87,3182411"
Iraq,1995,"88,2410727"
Iraq,1996,"80,0072636"
Iraq,1997,"76,2097978"
Iraq,1998,"78,2495544"
Iraq,1999,"75,4472753"
Iraq,2001,"83,8288545"
Iraq,2002,"83,0956013"
Iraq,2003,"84,9636252"
Iraq,2004,"103,642806"
Iraq,2005,"100,524279"
Iraq,2006,"85,6582257"
Iraq,2007,"52,5976338"
Iraq,2008,"77,6192953"
Iraq,2009,"85,2945771"
Iraq,2010,"88,8165332"
Iraq,2011,"105,664661"
Iraq,2012,"115,006395"
Iraq,2013,"118,47399"
Iraq,2014,"115,181473"
Iraq,2015,"111,758879"
Iraq,2016,"127,413086"
Iraq,2017,"135,299551"
Iraq,2018,"131,963095"
Iraq,2019,"136,144064"
Iraq,2020,"125,797732"
Iraq,2021,"125,797732"
Mali,,"92,7394443"
Mali,2000,"2,33763564"
Mali,1990,"1,19927388"
Mali,1991,"1,18364057"
Mali,1992,"1,2542442"
Mali,1993,"1,3279637"
Mali,1994,"1,40991206"
Mali,1995,"1,4902271"
Mali,1996,"1,57619395"
Mali,1997,"1,72770401"
Mali,1998,"2,16433068"
Mali,1999,"2,18953116"
Mali,2001,"2,47311828"
Mali,2002,"2,49794976"
Mali,2003,"2,49519828"
Mali,2004,"2,73003547"
Mali,2005,"2,73260196"
Mali,2006,"2,7905586"
Mali,2007,"3,14339914"
Mali,2008,"3,32717921"
Mali,2009,"3,10586844"
Mali,2010,"3,33064152"
Mali,2011,"3,52545571"
Mali,2012,"3,65958977"
Mali,2013,"4,00256441"
Mali,2014,"4,39205503"
Mali,2015,"4,50114108"
Mali,2016,"4,44747173"
Mali,2017,"4,5820889"
Mali,2018,"4,60381358"
Mali,2019,"4,50283145"
Mali,2020,"4,0176125"
Mali,2021,"4,0176125"
Oman,,"8796,28536"
Oman,2000,"227,89266"
Oman,1990,"148,627854"
Oman,1991,"146,942603"
Oman,1992,"143,915897"
Oman,1993,"153,175323"
Oman,1994,"168,169431"
Oman,1995,"171,148363"
Oman,1996,"159,707849"
Oman,1997,"162,661473"
Oman,1998,"173,731273"
Oman,1999,"218,793527"
Oman,2001,"210,270671"
Oman,2002,"259,389479"
Oman,2003,"322,131822"
