YEAR,EMISSION,RANK
1992,19000000000,32
1990,19000000000,31
1991,19100000000,30
1993,19200000000,29
1994,19400000000,28
1995,19800000000,27
1998,20300000000,26
1996,20500000000,25
1999,20500000000,24
1997,20500000000,23
2000,21100000000,22
2001,21200000000,21
2002,21600000000,20
2003,22700000000,19
2004,23700000000,18
2005,24500000000,17
2006,25200000000,16
2009,26000000000,15
2007,26000000000,14
2008,26400000000,13
2021,26700000000,12
2010,27400000000,11
2020,28200000000,10
2011,28400000000,9
2012,28800000000,8
2016,28800000000,7
2013,29000000000,6
2015,29000000000,5
2014,29100000000,4
2017,29100000000,3
2019,29700000000,2
2018,29800000000,1
