COUNTRY_NAME,YEAR,SUM(F.GNI*F.POPULATION_COUNT)
Germany,1991,3020000000000
Finland,1994,160000000000
Finland,2000,217000000000
Finland,2001,225000000000
Finland,2006,249000000000
Belgium,1991,380000000000
Finland,2014,246000000000
Czechia,2007,330000000000
Belgium,2005,498000000000
Czechia,2014,338000000000
Australia,2008,909000000000
Belgium,2015,562000000000
Australia,2014,1080000000000
Australia,2018,1190000000000
France,1990,1930000000000
Australia,2019,1200000000000
Denmark,1990,186000000000
France,1999,2370000000000
France,2005,2640000000000
France,2017,3050000000000
France,2019,3160000000000
Austria,1994,325000000000
Canada,2002,1240000000000
Denmark,2008,289000000000
Canada,2007,1510000000000
Denmark,2020,339000000000
Austria,2011,446000000000
Hungary,1991,165000000000
Ireland,1991,84200000000
Ireland,1992,86400000000
Luxembourg,2006,39200000000
Hungary,1996,168000000000
Hungary,1998,177000000000
Ireland,2000,153000000000
Germany,1997,3290000000000
Ireland,2009,187000000000
Ireland,2010,190000000000
Japan,2014,5150000000000
Germany,2005,3640000000000
Germany,2006,3790000000000
Ireland,2012,188000000000
Ireland,2015,260000000000
Ireland,2017,296000000000
Japan,2016,5380000000000
Japan,2021,5310000000000
Germany,2018,4560000000000
SouthKorea,1991,600000000000
Iceland,1995,8182735159
SouthKorea,1999,978000000000
Greece,1993,255000000000
Iceland,2001,11100000000
Iceland,2003,11600000000
Italy,1999,2380000000000
Italy,2003,2520000000000
Greece,2003,347000000000
Iceland,2012,13100000000
Italy,2006,2610000000000
Italy,2012,2440000000000
Italy,2013,2380000000000
SouthKorea,2011,1780000000000
SouthKorea,2018,2170000000000
Greece,2010,361000000000
Iceland,2014,15200000000
Iceland,2015,16200000000
Italy,2015,2400000000000
Italy,2017,2510000000000
Portugal,2015,313000000000
Netherlands,2013,876000000000
Netherlands,2014,871000000000
Norway,2015,346000000000
Netherlands,2018,976000000000
Luxembourg,2019,47100000000
Slovakia,2001,95600000000
Poland,1990,423000000000
Poland,1992,391000000000
Slovakia,2010,141000000000
Mexico,1990,1220000000000
Mexico,1992,1320000000000
Poland,2005,710000000000
Poland,2006,751000000000
Poland,2008,839000000000
Poland,2009,855000000000
Slovakia,2019,170000000000
Slovakia,2020,163000000000
NewZealand,2007,143000000000
Mexico,2009,1890000000000
Poland,2018,1170000000000
Mexico,2014,2210000000000
Portugal,1990,228000000000
Portugal,1991,238000000000
Portugal,1997,263000000000
Norway,1996,193000000000
Portugal,2001,302000000000
Portugal,2004,311000000000
Spain,2016,1790000000000
Netherlands,1993,573000000000
Norway,2001,251000000000
Sweden,1994,295000000000
Turkey,2000,1020000000000
Sweden,2002,380000000000
Turkey,2014,1910000000000
Turkey,2019,2310000000000
UnitedStates,2011,17100000000000
Sweden,2018,540000000000
UnitedStates,2019,20900000000000
UnitedKingdom,1990,1770000000000
Switzerland,1992,394000000000
UnitedKingdom,1998,2090000000000
Argentina,1997,676000000000
Bulgaria,1998,90100000000
Bulgaria,1999,82900000000
Switzerland,1996,401000000000
UnitedKingdom,2003,2450000000000
Argentina,2001,637000000000
Argentina,2006,788000000000
Switzerland,2004,484000000000
UnitedKingdom,2011,2650000000000
UnitedKingdom,2015,2870000000000
Switzerland,2016,578000000000
UnitedKingdom,2018,3070000000000
UnitedKingdom,2021,3050000000000
Argentina,2019,953000000000
Argentina,2020,870000000000
Indonesia,2000,1120000000000
Indonesia,2006,1530000000000
Estonia,2007,36400000000
Estonia,2008,35700000000
Colombia,1994,330000000000
Colombia,1996,351000000000
Estonia,2016,41600000000
Chile,1994,169000000000
Chile,2001,241000000000
Chile,2004,264000000000
Colombia,2009,497000000000
Colombia,2012,575000000000
Chile,2009,320000000000
Colombia,2018,695000000000
Colombia,2019,717000000000
Chile,2017,432000000000
Cyprus,1990,14500000000
Cyprus,1998,21200000000
India,2014,6610000000000
China,1992,2100000000000
CostaRica,1995,38500000000
Cyprus,2008,31300000000
CostaRica,2008,71500000000
China,2008,9920000000000
CostaRica,2013,82900000000
China,2012,14100000000000
China,2019,22700000000000
Indonesia,1991,832000000000
Malta,2008,12900000000
Malta,2009,12300000000
Malta,2014,15400000000
RussianFederation,2019,3860000000000
Latvia,2014,49500000000
Malta,2018,19400000000
Indonesia,2013,2310000000000
Indonesia,2018,2910000000000
SaudiArabia,1994,802000000000
SaudiArabia,1997,829000000000
Lithuania,1997,39600000000
Lithuania,2000,44900000000
Romania,1996,284000000000
Romania,1999,263000000000
Romania,2002,299000000000
SaudiArabia,2004,1010000000000
Lithuania,2004,62400000000
Romania,2016,489000000000
Lithuania,2018,95100000000
Israel,2020,360000000000
Malta,1990,6844519684
Singapore,1991,110000000000
Singapore,1992,118000000000
Latvia,1991,41900000000
Singapore,1999,174000000000
Singapore,2001,184000000000
Latvia,1994,22800000000
RussianFederation,2003,2450000000000
Latvia,2004,38200000000
Slovenia,2009,67700000000
Slovenia,2016,70400000000
Slovenia,2018,77400000000
SouthAfrica,1994,441000000000
SouthAfrica,1998,479000000000
SouthAfrica,2003,532000000000
SouthAfrica,2014,745000000000
SouthAfrica,2019,782000000000
SouthAfrica,2020,739000000000
Austria,2015,453000000000
Germany,1993,3090000000000
Finland,2002,228000000000
Finland,2003,228000000000
Czechia,1990,233000000000
Finland,2007,260000000000
Belgium,1990,372000000000
Belgium,1994,401000000000
Czechia,1997,235000000000
Czechia,1999,242000000000
Finland,2015,250000000000
Finland,2016,256000000000
Belgium,1996,413000000000
Belgium,2002,474000000000
Czechia,2008,338000000000
Czechia,2009,323000000000
Finland,2021,274000000000
Australia,1998,667000000000
Czechia,2012,325000000000
Czechia,2015,357000000000
Australia,2005,828000000000
Australia,2009,925000000000
Belgium,2016,571000000000
Belgium,2018,584000000000
Czechia,2021,407000000000
Australia,2017,1160000000000
Belgium,2021,604000000000
Australia,2021,1270000000000
France,1993,2020000000000
France,2008,2790000000000
France,2013,2840000000000
Canada,1995,969000000000
Denmark,2001,250000000000
France,2015,2950000000000
Austria,1999,363000000000
Denmark,2014,305000000000
France,2021,3110000000000
Austria,2001,379000000000
Canada,2015,1660000000000
Canada,2018,1780000000000
Japan,1993,4570000000000
Luxembourg,1994,26600000000
Luxembourg,1998,30400000000
Luxembourg,2000,34300000000
Ireland,1990,82000000000
Japan,1997,4830000000000
Japan,1998,4780000000000
Luxembourg,2002,33900000000
Luxembourg,2005,40500000000
Hungary,1994,169000000000
Hungary,1999,182000000000
Hungary,2001,198000000000
Japan,2001,4900000000000
Ireland,2004,181000000000
Ireland,2006,204000000000
Hungary,2013,242000000000
Hungary,2015,259000000000
Ireland,2016,281000000000
Germany,2010,3890000000000
Hungary,2021,318000000000
Ireland,2019,331000000000
Ireland,2021,382000000000
Iceland,1990,8061393632
SouthKorea,1995,814000000000
Iceland,1997,9044178620
Italy,1994,2120000000000
Italy,1995,2190000000000
Greece,1991,260000000000
Greece,2001,320000000000
Iceland,2007,15000000000
Iceland,2008,12900000000
Italy,2009,2510000000000
