COUNTRY_NAME,AGE_GRO,MOYPOPULATION,RANK
China,LESS_20,387425694,1
India,0 - 4,104932500,1
China,10 - 14,94748796.1,1
China,15 - 19,91850962.6,1
China,15 - 64,672094696,1
China,20 - 24,88738485.4,1
China,20 - 64,580243733,1
China,25 - 29,84782874.7,1
China,30 - 34,79037192,1
China,35 - 39,72281765.6,1
China,40 - 44,66191314.5,1
China,45 - 49,59997492,1
China,5 - 9,98273283.6,1
China,50 - 54,51591867.1,1
China,50_OVER,197076820,1
China,55 - 59,42668135.1,1
China,60 - 64,34954606.6,1
China,65 - 69,26916207.5,1
China,65_OVER,67862211.7,1
China,70 - 74,18806990.1,1
China,75 - 79,12049603,1
China,80 - 84,6592336.68,1
China,85_OVER,3497074.4,1
India,LESS_20,372537541,2
China,0 - 4,102552652,2
India,10 - 14,89333027.9,2
India,15 - 19,82327893.2,2
India,15 - 64,501523586,2
India,20 - 24,74645761,2
India,20 - 64,419195692,2
India,25 - 29,66911911.6,2
India,30 - 34,59403619.9,2
India,35 - 39,52158617,2
India,40 - 44,45425643.1,2
India,45 - 49,39121505.9,2
India,5 - 9,95944119.5,2
India,50 - 54,33050574.6,2
India,50_OVER,119432863,2
India,55 - 59,27135571,2
India,60 - 64,21342488.3,2
India,65 - 69,15736416.5,2
India,65_OVER,37904228.9,2
India,70 - 74,10641750.5,2
India,75 - 79,6475821.43,2
United States,80 - 84,3656751.1,2
United States,85_OVER,3043681.29,2
United States,LESS_20,74648543.1,3
Indonesia,0 - 4,19890744.9,3
United States,10 - 14,18736528.8,3
United States,15 - 19,18490311.9,3
United States,15 - 64,158072860,3
United States,20 - 24,18142972.8,3
United States,20 - 64,139582548,3
United States,25 - 29,17775290.5,3
United States,30 - 34,17411030.3,3
United States,35 - 39,16797186.7,3
United States,40 - 44,16048258.3,3
United States,45 - 49,15157581.3,3
Indonesia,5 - 9,18705246.5,3
United States,50 - 54,14143211,3
United States,50_OVER,67603803.3,3
United States,55 - 59,12872961.9,3
United States,60 - 64,11234055.6,3
United States,65 - 69,9550122.11,3
United States,65_OVER,29353574.8,3
United States,70 - 74,7549710.61,3
United States,75 - 79,5553309.71,3
India,80 - 84,3311396.21,3
India,85_OVER,1738844.28,3
Indonesia,LESS_20,72632694.3,4
United States,0 - 4,18716601.5,4
Indonesia,10 - 14,17643631.2,4
Indonesia,15 - 19,16393071.7,4
Indonesia,15 - 64,102630570,4
Indonesia,20 - 24,15013514.3,4
Indonesia,20 - 64,86237498.7,4
Indonesia,25 - 29,13764151.1,4
Indonesia,30 - 34,12380601.3,4
Indonesia,35 - 39,10944092.9,4
Indonesia,40 - 44,9528462.68,4
Russian Federation,45 - 49,8746723,4
United States,5 - 9,18705100.9,4
Russian Federation,50 - 54,8108029.34,4
Russian Federation,50_OVER,35484503.6,4
Russian Federation,55 - 59,7256494.17,4
Russian Federation,60 - 64,6206674.52,4
Japan,65 - 69,5083923.75,4
Japan,65_OVER,16074440.4,4
Japan,70 - 74,4158515.22,4
Japan,75 - 79,3097979.83,4
Japan,80 - 84,2049815.33,4
Japan,85_OVER,1684206.29,4
Brazil,LESS_20,56509172,5
Brazil,0 - 4,15135443.3,5
Brazil,10 - 14,13816283.4,5
Brazil,15 - 19,13130072.5,5
Russian Federation,15 - 64,91906516.5,5
Brazil,20 - 24,12213726.9,5
Russian Federation,20 - 64,81584661.4,5
Brazil,25 - 29,11120972.1,5
Russian Federation,30 - 34,10432407.1,5
