SQL> SELECT p.country_name, AVG(f.gni), RANK() OVER (ORDER BY AVG(f.gni) DESC) as rank
  2  FROM COUNTRIES p, FACTS f, AGE_GROUPS a
  3  WHERE p.id_country = f.id_country AND f.id_age_group = a.id_age_group AND a.age_group = 'TOTAL' AND f.gni IS NOT NULL
  4  GROUP BY(p.country_name);

COUNTRY_NAME                                     AVG(F.GNI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Liechtenstein                                     111709,94          1                                                                                                                                                                                                                                      
United Arab Emirates                             82143,2525          2                                                                                                                                                                                                                                      
Qatar                                            81961,7716          3                                                                                                                                                                                                                                      
Luxembourg                                       76477,2188          4                                                                                                                                                                                                                                      
Brunei                                           68677,5613          5                                                                                                                                                                                                                                      
Singapore                                        66088,2738          6                                                                                                                                                                                                                                      
San Marino                                       65830,7132          7                                                                                                                                                                                                                                      
Kuwait                                           65451,0717          8                                                                                                                                                                                                                                      
Switzerland                                      64365,0104          9                                                                                                                                                                                                                                      
Norway                                            56914,806         10                                                                                                                                                                                                                                      
United States                                    52181,9878         11                                                                                                                                                                                                                                      

COUNTRY_NAME                                     AVG(F.GNI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Austria                                          48681,7713         12                                                                                                                                                                                                                                      
Denmark                                          48680,1486         13                                                                                                                                                                                                                                      
Andorra                                          48641,8005         14                                                                                                                                                                                                                                      
Netherlands                                      48436,5608         15                                                                                                                                                                                                                                      
Belgium                                          46048,8242         16                                                                                                                                                                                                                                      
Hong Kong                                        45854,5645         17                                                                                                                                                                                                                                      
Germany                                          45783,5743         18                                                                                                                                                                                                                                      
Saudi Arabia                                      45195,071         19                                                                                                                                                                                                                                      
Sweden                                           44702,1302         20                                                                                                                                                                                                                                      
Bahrain                                          44273,5032         21                                                                                                                                                                                                                                      
Ireland                                          43564,0715         22                                                                                                                                                                                                                                      

COUNTRY_NAME                                     AVG(F.GNI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Finland                                          42428,9888         23                                                                                                                                                                                                                                      
Iceland                                          41447,4517         24                                                                                                                                                                                                                                      
Italy                                            41181,9841         25                                                                                                                                                                                                                                      
Canada                                           41116,3325         26                                                                                                                                                                                                                                      
France                                           40850,1265         27                                                                                                                                                                                                                                      
Australia                                        40110,7329         28                                                                                                                                                                                                                                      
United Kingdom                                   39520,5807         29                                                                                                                                                                                                                                      
Japan                                            39332,6863         30                                                                                                                                                                                                                                      
Bahamas                                          36304,5524         31                                                                                                                                                                                                                                      
Spain                                            34641,5748         32                                                                                                                                                                                                                                      
Oman                                             33984,3443         33                                                                                                                                                                                                                                      

COUNTRY_NAME                                     AVG(F.GNI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Cyprus                                           33063,7979         34                                                                                                                                                                                                                                      
New Zealand                                      32112,1074         35                                                                                                                                                                                                                                      
Slovenia                                         31164,1897         36                                                                                                                                                                                                                                      
Israel                                           30503,2371         37                                                                                                                                                                                                                                      
Malta                                            29465,2731         38                                                                                                                                                                                                                                      
South Korea                                      28906,8046         39                                                                                                                                                                                                                                      
Greece                                            28839,932         40                                                                                                                                                                                                                                      
Portugal                                         28706,5261         41                                                                                                                                                                                                                                      
Czechia                                          28606,4068         42                                                                                                                                                                                                                                      
Croatia                                          22828,7205         43                                                                                                                                                                                                                                      
Hungary                                          22360,0246         44                                                                                                                                                                                                                                      

