SQL> SELECT p.country_name, AVG(f.hdi), NTILE(4) OVER (ORDER BY AVG(f.hdi) DESC) AS rank
  2  FROM COUNTRIES p, FACTS f, AGE_GROUPS a
  3  WHERE p.id_country = f.id_country AND f.id_age_group = a.id_age_group AND a.age_group = 'TOTAL' AND f.gni IS NOT NULL AND f.hdi IS NOT NULL
  4  GROUP BY (p.country_name);

COUNTRY_NAME                                     AVG(F.HDI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Norway                                             ,9188125          1                                                                                                                                                                                                                                      
Liechtenstein                                    ,913954545          1                                                                                                                                                                                                                                      
Switzerland                                        ,9111875          1                                                                                                                                                                                                                                      
Australia                                         ,90940625          1                                                                                                                                                                                                                                      
Germany                                            ,9046875          1                                                                                                                                                                                                                                      
Netherlands                                       ,90353125          1                                                                                                                                                                                                                                      
United States                                          ,902          1                                                                                                                                                                                                                                      
Canada                                               ,90175          1                                                                                                                                                                                                                                      
Denmark                                           ,90121875          1                                                                                                                                                                                                                                      
Sweden                                            ,89965625          1                                                                                                                                                                                                                                      
New Zealand                                         ,896125          1                                                                                                                                                                                                                                      

COUNTRY_NAME                                     AVG(F.HDI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Belgium                                           ,89503125          1                                                                                                                                                                                                                                      
Finland                                           ,89484375          1                                                                                                                                                                                                                                      
Iceland                                             ,893375          1                                                                                                                                                                                                                                      
Japan                                             ,88953125          1                                                                                                                                                                                                                                      
Austria                                            ,8831875          1                                                                                                                                                                                                                                      
United Kingdom                                    ,88184375          1                                                                                                                                                                                                                                      
Hong Kong                                          ,8800625          1                                                                                                                                                                                                                                      
Luxembourg                                          ,877625          1                                                                                                                                                                                                                                      
Slovenia                                         ,867481481          1                                                                                                                                                                                                                                      
Israel                                            ,86534375          1                                                                                                                                                                                                                                      
Ireland                                             ,864375          1                                                                                                                                                                                                                                      

COUNTRY_NAME                                     AVG(F.HDI)       RANK                                                                                                                                                                                                                                      
------------------------------------------------ ---------- ----------                                                                                                                                                                                                                                      
Singapore                                         ,86009375          1                                                                                                                                                                                                                                      
France                                             ,8600625          1                                                                                                                                                                                                                                      
San Marino                                             ,855          1                                                                                                                                                                                                                                      
Italy                                             ,85465625          1                                                                                                                                                                                                                                      
Andorra                                               ,8515          1                                                                                                                                                                                                                                      
South Korea                                        ,8510625          1                                                                                                                                                                                                                                      
Spain                                             ,84459375          1                                                                                                                                                                                                                                      
Greece                                             ,8364375          1                                                                                                                                                                                                                                      
Czechia                                           ,83459375          1                                                                                                                                                                                                                                      
Cyprus                                             ,8268125          1                                                                                                                                                                                                                                      
Malta                                               ,825125          1                                                                                                                                                                                                                                      

