Country Name;country_code;Region;Indicator Name;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Albania;ALB;Europe & Central Asia;CO2 emissions (metric tons per capita);1.819541634;1.24281022;0.683699826;0.638307036;0.645355189;0.605436253;0.612367359;0.466921472;0.572153695;0.955359308;1.026213109;1.055495882;1.232378783;1.338984981;1.404058688;1.338209399;1.339995739;1.39393137;1.384311249;1.441493562;1.527623663;1.66942319;1.50324046;1.533630039;1.668337371
Andorra;AND;Europe & Central Asia;CO2 emissions (metric tons per capita);7.521831658;7.23537924;6.9630787;6.724177518;6.541578914;6.733479486;6.99159455;7.307441152;7.63953851;7.923191648;7.952286282;7.721549062;7.566239884;7.24241557;7.344262326;7.353780012;6.790542773;6.53104692;6.439303857;6.156687476;6.157197775;5.850886105;5.944654173;5.942800412;5.807127723
Armenia;ARM;Europe & Central Asia;CO2 emissions (metric tons per capita);5.610254358;5.902576393;3.16600926;1.498612445;0.83443373;1.090960291;0.814339187;1.066043297;1.116225447;1.006791798;1.159761363;1.180062452;1.028353516;1.159732241;1.25303469;1.496010763;1.51776299;1.773161431;1.956930356;1.561583601;1.508351244;1.71734338;1.983192027;1.89812717;1.881607737
Austria;AUT;Europe & Central Asia;CO2 emissions (metric tons per capita);7.58936421;8.049113779;7.353926794;7.311242503;7.343640808;7.697264741;8.154273323;8.059697484;8.107272237;7.888819322;7.929785513;8.444109161;8.583317475;9.168343908;9.2756141;9.26611356;8.961569195;8.587801761;8.49967402;7.721143982;8.365014901;8.135474381;7.723614487;7.753699576;7.260404228
Azerbaijan;AZE;Europe & Central Asia;CO2 emissions (metric tons per capita);7.453450775;7.159655082;8.616847624;6.411111704;4.412529372;4.225196328;3.502511915;3.379580901;3.347655756;3.272055369;3.440349875;3.254758852;3.203641763;3.469717358;3.408174257;3.579663711;3.593590676;3.219791775;3.474678865;2.850039951;2.684902593;2.973918764;3.239102868;3.285616903;3.38119922
Belgium;BEL;Europe & Central Asia;CO2 emissions (metric tons per capita);10.96677472;11.39089005;11.18250206;10.91876374;11.35869013;11.30237113;11.76078263;11.45537702;11.70341139;11.29525399;11.43958054;11.50432068;10.72798848;11.13131453;10.94122423;10.55578237;10.30057207;9.843115874;9.984152183;9.231701273;9.794792242;8.740505152;8.577525877;8.655477512;8.041711215
Bulgaria;BGR;Europe & Central Asia;CO2 emissions (metric tons per capita);8.443170443;6.815048526;6.482311113;6.601503037;6.36222195;6.528617961;6.612597225;6.375068154;6.113759034;5.397884497;5.3144536;5.767159578;5.56323884;6.164371004;6.125548534;6.265854174;6.439923574;6.971191811;6.678624427;5.764030949;6.049544016;6.755278124;6.16215311;5.458963808;5.820924714
Bosnia and Herzegovina;BIH;Europe & Central Asia;CO2 emissions (metric tons per capita);5.370319006;4.906942041;3.772138283;3.285167225;0.802738048;0.880114096;1.113053568;2.272441362;2.881367461;2.81031471;3.721499604;3.663945867;3.872969895;3.952496648;4.136343582;4.310376759;4.756438946;5.02020957;5.529716828;5.511323147;5.624105757;6.484260583;6.091586588;6.167789961;5.597187383
Belarus;BLR;Europe & Central Asia;CO2 emissions (metric tons per capita);9.797486552;9.438839323;8.612563831;7.463583047;6.337174653;5.654400196;5.772882688;5.848321407;5.685088398;5.480346649;5.304816521;5.225335545;5.254649833;5.379335611;5.759420354;5.875465459;6.15517613;6.029733806;6.352864617;6.03919199;6.50264283;6.18814293;6.344981391;6.352712195;6.29728587
Switzerland;CHE;Europe & Central Asia;CO2 emissions (metric tons per capita);6.452219106;6.716198199;6.646920803;6.26237251;6.089683784;6.169852459;6.223265482;6.030549707;6.223627817;6.23321054;6.084142395;6.244939386;5.980985175;6.109823415;6.127509688;6.165024808;6.077017721;5.766034471;5.878910791;5.639327378;5.777702857;5.205754138;5.317086349;5.381151799;4.859165525
